student_id,session_topic,session_date,session_duration,session_ratio,tutor_id
3047429848,ela,2024-10-05,60,1:5,19923
3047429848,ela,2024-11-27,30,1:4,43951
3047429848,ela,2024-10-09,90,1:5,95574
3047429848,ela,2025-01-25,30,1:3,28331
3047429848,ela,2025-04-20,60,1:4,69779
3047429848,ela,2024-12-13,60,1:3,61807
3047429848,ela,2024-10-11,90,1:3,92648
3047429848,ela,2024-12-12,30,1:4,92648
3047429848,ela,2025-02-07,30,1:1,59870
3047429848,ela,2024-11-11,90,1:3,28794
3047429848,ela,2025-03-24,30,1:5,90962
3047429848,ela,2025-01-23,60,1:5,61807
3047429848,ela,2025-06-01,45,1:3,80394
3047429848,ela,2025-04-06,30,1:5,65162
3047429848,ela,2025-03-20,30,1:3,90962
3047429848,ela,2025-02-17,60,1:4,50955
3047429848,ela,2025-04-18,60,1:2,47330
3047429848,ela,2025-04-10,60,1:3,52600
3047429848,ela,2025-06-03,60,1:3,47733
3047429848,ela,2024-12-18,30,1:5,50955
3047429848,ela,2025-04-02,30,1:3,60071
3047429848,ela,2025-05-16,45,1:2,98620
3047429848,ela,2025-02-21,30,1:3,80394
3047429848,ela,2025-05-12,45,1:4,40542
3047429848,ela,2025-01-23,30,1:4,50955
7141523668,math,2025-01-23,45,1:4,87829
7141523668,math,2024-11-01,30,1:3,61807
7141523668,math,2025-03-09,30,1:5,42663
7141523668,math,2024-10-31,45,1:4,65522
7141523668,math,2024-12-19,90,1:4,57707
7141523668,math,2025-01-20,60,1:4,82805
7141523668,math,2025-04-13,30,1:4,40542
7141523668,math,2024-12-25,30,1:4,39541
7141523668,math,2025-05-02,30,1:2,87829
7141523668,math,2025-03-30,60,1:5,93792
7141523668,math,2024-12-27,90,1:3,80394
7141523668,math,2025-05-01,45,1:4,57707
7141523668,math,2025-03-26,30,1:3,50955
7141523668,math,2024-11-04,60,1:1,14300
7141523668,math,2025-05-17,45,1:5,33923
7141523668,math,2024-11-14,90,1:5,28331
7141523668,math,2025-01-31,60,1:4,87829
7141523668,math,2024-09-04,60,1:1,22762
7141523668,math,2024-12-23,90,1:3,65162
7141523668,math,2025-01-11,45,1:5,47733
7141523668,math,2025-01-17,45,1:3,87829
7141523668,math,2025-04-04,45,1:1,87829
7141523668,math,2024-12-07,90,1:2,52373
7141523668,math,2025-04-22,90,1:2,57707
7141523668,math,2025-01-25,45,1:4,65162
7141523668,math,2025-03-25,45,1:4,59870
7141523668,math,2024-09-19,45,1:3,95574
7141523668,math,2025-04-25,45,1:2,51779
7141523668,math,2025-03-16,45,1:3,36238
7141523668,math,2025-04-01,45,1:2,61807
7141523668,math,2025-04-08,45,1:3,27319
7141523668,math,2024-12-14,60,1:5,43951
7141523668,math,2024-09-24,60,1:4,36238
7141523668,math,2024-09-30,60,1:4,19923
7141523668,math,2024-09-06,60,1:5,93813
7141523668,math,2024-09-28,90,1:2,20807
4365641163,math,2025-04-19,30,1:1,69779
4365641163,math,2025-03-16,60,1:1,28331
4365641163,math,2025-03-26,45,1:2,74993
4365641163,math,2024-10-10,60,1:5,19923
4365641163,math,2025-02-05,90,1:4,60071
4365641163,math,2025-03-03,30,1:3,90962
4365641163,math,2024-09-28,60,1:5,42663
4365641163,math,2024-10-29,30,1:4,69672
4365641163,math,2025-01-09,45,1:1,92648
4365641163,math,2024-09-06,60,1:1,93813
4365641163,math,2024-12-03,60,1:4,87829
4365641163,math,2025-03-05,30,1:2,65162
4365641163,math,2024-09-30,60,1:1,50955
4365641163,math,2025-04-24,60,1:3,33882
4365641163,math,2025-04-14,45,1:3,92491
4365641163,math,2025-03-02,90,1:3,27319
4365641163,math,2025-04-13,30,1:1,61807
4365641163,math,2025-05-27,30,1:1,93792
4365641163,math,2024-10-18,90,1:1,49249
4365641163,math,2025-01-27,90,1:2,51779
