student_id,district_id,district_name,school_id,school_name,current_grade_level,gender,ethnicity,ell,iep,gifted_flag,homeless_flag,disability,economic_disadvantage,ela_state_score_two_years_ago,ela_state_score_one_year_ago,ela_state_score_current_year,math_state_score_two_years_ago,math_state_score_one_year_ago,math_state_score_current_year,performance_level_two_years_ago,performance_level_prior_year,performance_level_current_year
3047429848,4603381,Ware Ltd School District,532820,Kennedy-Gibbs High School,3,True,Other,True,True,True,True,True,True,729,746,767,677,686,697,proficient,proficient,advanced
7141523668,4603381,Ware Ltd School District,205193,Chandler Inc High School,-1,True,Black,False,False,True,False,False,True,651,676,702,682,700,714,basic,proficient,proficient
4365641163,4603381,Ware Ltd School District,205193,Chandler Inc High School,6,True,Other,True,False,False,True,False,False,633,654,673,730,748,763,proficient,proficient,proficient
2900531809,4603381,Ware Ltd School District,205193,Chandler Inc High School,7,False,Native American,False,False,True,True,True,True,608,615,624,726,741,762,basic,proficient,proficient
3717302614,4603381,Ware Ltd School District,532820,Kennedy-Gibbs High School,6,True,Hispanic,True,False,False,True,False,False,628,631,634,712,728,741,basic,proficient,proficient
3246484147,5000332,Frederick-Zamora School District,254717,Vega-Mooney High School,0,False,Black,True,True,True,False,True,False,726,738,753,730,739,746,advanced,advanced,advanced
4572627216,4603381,Ware Ltd School District,206941,Johnson-Bowen High School,1,False,Other,True,True,True,True,True,True,666,681,696,673,681,687,basic,proficient,proficient
9738797240,4603381,Ware Ltd School District,532820,Kennedy-Gibbs High School,9,False,Native American,False,False,True,False,False,True,697,716,741,724,736,746,proficient,advanced,advanced
3454762731,4603381,Ware Ltd School District,206941,Johnson-Bowen High School,2,True,Pacific Islander,False,False,False,True,True,False,654,678,699,720,735,746,proficient,proficient,proficient
5032982597,4603381,Ware Ltd School District,532820,Kennedy-Gibbs High School,8,True,Black,True,False,False,False,False,True,660,671,680,714,737,753,proficient,proficient,proficient
4251862795,4603381,Ware Ltd School District,206941,Johnson-Bowen High School,10,True,Hispanic,False,True,False,True,False,True,614,627,640,685,696,705,basic,basic,basic
6434465045,4603381,Ware Ltd School District,205193,Chandler Inc High School,4,True,Other,True,False,True,False,False,False,743,752,759,687,711,731,proficient,advanced,advanced
8074359315,4603381,Ware Ltd School District,206941,Johnson-Bowen High School,4,False,Pacific Islander,False,True,False,False,True,True,719,735,752,673,680,687,proficient,proficient,proficient
3876796239,4603381,Ware Ltd School District,205193,Chandler Inc High School,10,True,Native American,False,False,True,True,False,False,648,662,674,699,703,707,basic,proficient,proficient
4747993364,5000332,Frederick-Zamora School District,254717,Vega-Mooney High School,12,False,Black,True,True,False,True,True,False,670,693,718,712,717,724,proficient,proficient,proficient
6702812241,5000332,Frederick-Zamora School District,164948,Flores PLC High School,4,False,Asian,False,True,False,True,False,True,609,624,637,734,746,763,basic,proficient,proficient
1177438500,4603381,Ware Ltd School District,205193,Chandler Inc High School,6,True,Asian,False,True,False,True,True,True,680,700,717,627,643,659,basic,basic,proficient
8058085142,5000332,Frederick-Zamora School District,254717,Vega-Mooney High School,7,False,Asian,False,True,True,True,True,False,642,656,668,722,744,770,proficient,proficient,proficient
9800405529,4603381,Ware Ltd School District,205193,Chandler Inc High School,6,True,Asian,False,False,False,False,True,True,640,657,677,728,733,738,proficient,proficient,proficient
8568722635,4603381,Ware Ltd School District,834022,Rodriguez-Palmer High School,0,True,Native American,False,True,True,True,False,False,651,676,696,710,722,735,proficient,proficient,proficient
7083211499,4603381,Ware Ltd School District,205193,Chandler Inc High School,3,True,Hispanic,False,False,False,True,True,False,649,662,675,689,702,715,basic,proficient,proficient
1032912355,4603381,Ware Ltd School District,532820,Kennedy-Gibbs High School,2,True,White,True,False,False,True,True,False,642,648,655,664,684,704,basic,basic,proficient
7837758624,5000332,Frederick-Zamora School District,254717,Vega-Mooney High School,10,True,Pacific Islander,False,False,False,False,False,False,716,722,729,659,664,669,proficient,proficient,proficient
5914161872,4603381,Ware Ltd School District,205193,Chandler Inc High School,10,True,Black,False,True,False,False,True,False,663,665,668,688,699,707,proficient,proficient,proficient
6297438170,4603381,Ware Ltd School District,205193,Chandler Inc High School,0,False,Hispanic,False,False,False,False,True,True,615,629,644,601,620,645,basic,basic,basic
4416103276,5000332,Frederick-Zamora School District,254717,Vega-Mooney High School,6,False,White,False,False,True,True,False,True,685,695,706,665,681,703,proficient,proficient,proficient
4405885325,5000332,Frederick-Zamora School District,164948,Flores PLC High School,7,True,Asian,True,False,True,False,False,False,636,656,680,669,676,684,basic,basic,proficient
9989769159,4603381,Ware Ltd School District,205193,Chandler Inc High School,9,True,Native American,True,False,False,True,False,False,739,757,775,614,636,655,proficient,proficient,proficient
5206489295,5000332,Frederick-Zamora School District,164948,Flores PLC High School,7,True,Hispanic,False,False,False,True,False,True,612,620,626,715,726,740,basic,basic,proficient
4970661405,4603381,Ware Ltd School District,834022,Rodriguez-Palmer High School,10,True,Native American,False,False,False,False,False,True,702,718,732,670,696,720,proficient,proficient,advanced
7426346831,5000332,Frederick-Zamora School District,254717,Vega-Mooney High School,1,False,Pacific Islander,True,False,True,True,False,True,617,638,659,723,735,750,basic,proficient,proficient
3635554171,4603381,Ware Ltd School District,206941,Johnson-Bowen High School,7,True,Hispanic,True,False,True,True,True,True,608,610,612,686,701,721,basic,basic,basic
