student-id,dosage,pre-test,post-test
521381,0.28,43,67
111984,0.46,52,78
277442,0.8,27,54
392696,0.53,17,39
664e614,1.49,37,40
274037,0.98,33,69
243599,0.31,72,68
154222,0.22,98,3
497210,0.13,0,14
231068,0.95,37,22
935043,0.79,44,27
438306,0.26,93,53
567051,0.43,80,81
213395,0.24,45,0
494483,0.78,36,91
694013,0.64,42,62
121491,0.18,67,4
387846,0.97,82,90
353561,0.68,39,10
164201,0.86,84,37
951695,0.39,73,25
434022,0.3,78,12
938703,0.87,5,81
235595,0.78,38,52
539897,0.09,23,3
978217,0.96,21,48
108145,0.35,24,52
841368,0.16,84,24
688055,0.84,100,54
205620,0.3,27,98
293477,0.4,36,91
684571,0.24,65,65
154604,0.05,82,45
768139,0.29,60,48
532361,0.76,21,85
658725,0.32,82,53
953562,0.72,79,30
814009,0.12,38,2
469935,0.45,42,17
501876,0.93,92,28
607608,0.6,92,47
529381,0.45,28,93
406410,0.75,39,78
314199,0.29,95,45
313208,0.71,70,58
283903,0.92,15,18
952157,0.86,19,82
268881,0.21,49,50
295617,0.08,99,92
695019,0.95,63,15
336607,0.33,8,46
283562,0.88,74,41
249501,0.09,98,94
437685,0.8,37,13
808427,0.61,44,59
503223,0.28,80,12
285988,0.87,92,72
532251,0.21,84,74
481372,0.41,75,88
944710,0.45,62,14
770708,0.68,75,53
451155,0.47,0,27
323381,0.34,39,66
451860,0.59,39,42
862195,0.5,8,5
380661,0.53,13,53
306057,0.09,26,41
718538,0.63,13,13
142458,0.1,23,96
923577,0.2,81,65
630710,0.17,51,76
354807,0.61,83,50
340055,0.26,39,53
331667,0.99,61,84
882711,0.24,91,35
611800,0.33,25,17
864083,0.97,96,49
448960,0.3,95,46
730551,0.07,50,82
806033,0.89,96,26
918762,0.06,48,47
382966,0.11,75,42
845218,0.89,93,46
988415,0.98,80,71
956331,0.19,7,50
380586,0.8,6,29
222835,0.81,17,89
773074,0.41,51,29
364186,0.84,25,50
494852,0.9,23,16
778865,0.47,12,72
340977,0.53,58,29
337676,0,80,85
498459,0.32,33,48
999324,0.89,62,96
692226,0.81,95,90
607047,0.81,47,25
385455,0.95,18,32
249557,0.64,83,16
759528,0.65,88,57
751707,0.6,42,0
490382,0.5,30,24
894747,0.8,62,18
221784,0.25,91,26
945739,0.42,88,77
436124,0.77,75,32
643367,0.79,16,18
982077,0.79,32,59
502769,0.38,94,96
587628,0.44,72,48
875656,0.11,19,70
551553,0.06,77,86
502739,0.76,49,93
405782,0.22,50,14
505719,0.78,61,51
372089,0.52,88,3
132920,0.96,3,20
143552,0.96,91,4
716718,0.85,70,61
369008,0.42,7,79
640728,0.16,32,87
953933,0.87,2,28
